,Normal_Rep1,Normal_Rep2,Normal_Rep3,Treatment_A_Rep1,Treatment_A_Rep2,Treatment_A_Rep3,Treatment_B_Rep1,Treatment_B_Rep2,Treatment_B_Rep3
Gene_001,147,143,92,628,657,633,150,168,174
Gene_002,199,256,223,591,1234,638,167,217,182
Gene_003,164,221,186,998,709,724,199,213,203
Gene_004,139,139,109,669,614,684,131,161,146
Gene_005,335,254,241,1666,1494,1312,287,301,339
Gene_006,252,275,295,1206,842,1192,317,272,213
Gene_007,120,151,141,551,506,423,111,138,99
Gene_008,134,170,176,394,510,572,146,139,172
Gene_009,113,111,84,453,396,359,92,81,107
Gene_010,135,137,149,543,555,584,157,167,124
Gene_011,161,172,204,568,913,610,177,138,147
Gene_012,188,189,164,851,794,783,222,227,174
Gene_013,135,155,100,544,736,537,145,97,131
Gene_014,130,145,163,618,676,800,120,127,117
Gene_015,229,227,209,897,724,732,235,235,194
Gene_016,223,239,154,62,65,56,219,216,203
Gene_017,270,240,224,72,47,60,322,213,244
Gene_018,122,153,243,40,76,79,182,183,198
Gene_019,199,186,207,87,43,53,213,194,227
Gene_020,117,134,162,56,36,41,155,150,136
Gene_021,141,158,128,40,50,55,137,159,180
Gene_022,131,110,89,40,30,35,126,112,101
Gene_023,176,182,158,19,45,44,150,172,170
Gene_024,95,161,132,45,28,47,93,139,140
Gene_025,211,165,169,62,49,64,156,159,159
Gene_026,215,247,216,76,52,56,190,166,221
Gene_027,166,213,255,51,87,54,180,202,189
Gene_028,127,128,102,49,40,40,130,106,130
Gene_029,147,169,177,83,63,44,197,210,242
Gene_030,121,122,148,52,43,34,82,125,107
Gene_031,196,226,193,172,158,231,576,771,996
Gene_032,226,133,169,146,142,132,839,757,855
Gene_033,193,164,192,98,142,114,546,904,865
Gene_034,174,188,180,164,109,137,627,866,742
Gene_035,246,274,257,302,235,225,828,750,945
Gene_036,235,205,187,155,197,206,1019,731,417
Gene_037,186,230,131,157,210,243,726,579,680
Gene_038,155,165,185,182,187,133,954,723,642
Gene_039,157,309,283,205,301,234,1330,988,543
Gene_040,260,233,232,172,180,199,841,1047,879
Gene_041,226,154,130,139,172,134,636,593,653
Gene_042,177,161,176,205,154,220,1194,644,434
Gene_043,127,163,162,150,131,171,559,468,543
Gene_044,208,218,204,165,191,208,762,733,942
Gene_045,235,214,203,208,148,182,635,921,1022
Gene_046,162,170,171,146,114,170,55,57,40
Gene_047,129,139,113,163,140,146,39,48,63
Gene_048,179,197,182,237,212,196,75,44,64
Gene_049,248,181,161,152,240,223,47,44,63
Gene_050,245,231,244,220,207,219,55,63,109
Gene_051,149,148,97,117,132,159,27,57,38
Gene_052,164,168,175,134,176,188,48,45,36
Gene_053,123,140,143,134,108,108,36,41,32
Gene_054,141,187,184,197,138,195,56,36,54
Gene_055,184,135,183,159,199,161,52,35,43
Gene_056,206,233,258,168,230,203,83,63,57
Gene_057,246,202,198,242,225,192,73,85,59
Gene_058,226,172,161,193,207,212,80,49,52
Gene_059,128,163,131,119,155,129,31,40,45
Gene_060,192,91,119,147,144,162,70,46,53
Gene_061,208,240,209,189,216,299,250,162,263
Gene_062,125,124,93,125,118,95,175,136,142
Gene_063,152,116,151,130,108,122,100,116,150
Gene_064,203,239,216,210,152,210,217,200,213
Gene_065,214,225,169,227,175,205,234,208,217
Gene_066,158,198,189,114,195,165,157,133,165
Gene_067,162,205,198,185,186,223,242,240,148
Gene_068,110,99,94,96,102,120,106,107,91
Gene_069,287,247,285,227,200,210,205,192,223
Gene_070,226,188,193,240,200,183,208,193,179
Gene_071,242,193,166,215,216,174,152,197,218
Gene_072,132,184,164,137,123,117,138,171,115
Gene_073,196,245,228,214,193,285,201,247,185
Gene_074,141,205,226,190,133,229,171,229,168
Gene_075,301,219,225,223,241,240,190,236,281
Gene_076,176,145,147,148,153,147,136,158,170
Gene_077,105,91,131,96,122,133,121,111,100
Gene_078,131,190,143,157,176,173,128,190,167
Gene_079,123,112,139,151,114,113,142,136,107
Gene_080,199,247,159,187,188,125,156,202,172
Gene_081,283,268,278,241,279,266,282,237,232
Gene_082,255,224,170,181,185,195,201,234,215
Gene_083,173,150,149,141,148,147,189,131,135
Gene_084,279,220,228,274,278,275,238,320,266
Gene_085,152,173,165,161,135,173,127,150,157
Gene_086,173,172,148,171,180,216,164,196,175
Gene_087,151,154,167,173,177,134,163,203,127
Gene_088,250,173,184,207,164,222,165,169,168
Gene_089,76,119,83,106,73,104,97,118,128
Gene_090,147,197,117,165,183,188,194,144,168
Gene_091,153,169,185,143,173,79,161,156,180
Gene_092,145,153,214,150,140,137,151,172,159
Gene_093,172,153,154,197,194,152,179,145,148
Gene_094,140,154,191,194,167,154,146,151,203
Gene_095,175,127,159,138,136,165,182,150,159
Gene_096,187,223,195,219,207,138,152,194,204
Gene_097,144,133,92,143,148,123,160,143,145
Gene_098,295,237,325,294,211,238,306,304,231
Gene_099,138,140,153,146,146,162,144,187,173
Gene_100,224,201,257,170,196,191,222,209,227
