cell_id,cell_type
Cell_001,T_cell
Cell_002,T_cell
Cell_003,T_cell
Cell_004,T_cell
Cell_005,T_cell
Cell_006,T_cell
Cell_007,T_cell
Cell_008,T_cell
Cell_009,T_cell
Cell_010,T_cell
Cell_011,T_cell
Cell_012,T_cell
Cell_013,T_cell
Cell_014,T_cell
Cell_015,T_cell
Cell_016,T_cell
Cell_017,T_cell
Cell_018,T_cell
Cell_019,T_cell
Cell_020,T_cell
Cell_021,T_cell
Cell_022,T_cell
Cell_023,T_cell
Cell_024,T_cell
Cell_025,T_cell
Cell_026,T_cell
Cell_027,T_cell
Cell_028,T_cell
Cell_029,T_cell
Cell_030,T_cell
Cell_031,T_cell
Cell_032,T_cell
Cell_033,T_cell
Cell_034,T_cell
Cell_035,T_cell
Cell_036,T_cell
Cell_037,T_cell
Cell_038,T_cell
Cell_039,T_cell
Cell_040,T_cell
Cell_041,T_cell
Cell_042,T_cell
Cell_043,T_cell
Cell_044,T_cell
Cell_045,T_cell
Cell_046,T_cell
Cell_047,T_cell
Cell_048,T_cell
Cell_049,T_cell
Cell_050,T_cell
Cell_051,B_cell
Cell_052,B_cell
Cell_053,B_cell
Cell_054,B_cell
Cell_055,B_cell
Cell_056,B_cell
Cell_057,B_cell
Cell_058,B_cell
Cell_059,B_cell
Cell_060,B_cell
Cell_061,B_cell
Cell_062,B_cell
Cell_063,B_cell
Cell_064,B_cell
Cell_065,B_cell
Cell_066,B_cell
Cell_067,B_cell
Cell_068,B_cell
Cell_069,B_cell
Cell_070,B_cell
Cell_071,B_cell
Cell_072,B_cell
Cell_073,B_cell
Cell_074,B_cell
Cell_075,B_cell
Cell_076,B_cell
Cell_077,B_cell
Cell_078,B_cell
Cell_079,B_cell
Cell_080,B_cell
Cell_081,B_cell
Cell_082,B_cell
Cell_083,B_cell
Cell_084,B_cell
Cell_085,B_cell
Cell_086,B_cell
Cell_087,B_cell
Cell_088,B_cell
Cell_089,B_cell
Cell_090,B_cell
Cell_091,B_cell
Cell_092,B_cell
Cell_093,B_cell
Cell_094,B_cell
Cell_095,B_cell
Cell_096,B_cell
Cell_097,B_cell
Cell_098,B_cell
Cell_099,B_cell
Cell_100,B_cell
Cell_101,Monocyte
Cell_102,Monocyte
Cell_103,Monocyte
Cell_104,Monocyte
Cell_105,Monocyte
Cell_106,Monocyte
Cell_107,Monocyte
Cell_108,Monocyte
Cell_109,Monocyte
Cell_110,Monocyte
Cell_111,Monocyte
Cell_112,Monocyte
Cell_113,Monocyte
Cell_114,Monocyte
Cell_115,Monocyte
Cell_116,Monocyte
Cell_117,Monocyte
Cell_118,Monocyte
Cell_119,Monocyte
Cell_120,Monocyte
Cell_121,Monocyte
Cell_122,Monocyte
Cell_123,Monocyte
Cell_124,Monocyte
Cell_125,Monocyte
Cell_126,Monocyte
Cell_127,Monocyte
Cell_128,Monocyte
Cell_129,Monocyte
Cell_130,Monocyte
Cell_131,Monocyte
Cell_132,Monocyte
Cell_133,Monocyte
Cell_134,Monocyte
Cell_135,Monocyte
Cell_136,Monocyte
Cell_137,Monocyte
Cell_138,Monocyte
Cell_139,Monocyte
Cell_140,Monocyte
Cell_141,Monocyte
Cell_142,Monocyte
Cell_143,Monocyte
Cell_144,Monocyte
Cell_145,Monocyte
Cell_146,Monocyte
Cell_147,Monocyte
Cell_148,Monocyte
Cell_149,Monocyte
Cell_150,Monocyte
Cell_151,NK_cell
Cell_152,NK_cell
Cell_153,NK_cell
Cell_154,NK_cell
Cell_155,NK_cell
Cell_156,NK_cell
Cell_157,NK_cell
Cell_158,NK_cell
Cell_159,NK_cell
Cell_160,NK_cell
Cell_161,NK_cell
Cell_162,NK_cell
Cell_163,NK_cell
Cell_164,NK_cell
Cell_165,NK_cell
Cell_166,NK_cell
Cell_167,NK_cell
Cell_168,NK_cell
Cell_169,NK_cell
Cell_170,NK_cell
Cell_171,NK_cell
Cell_172,NK_cell
Cell_173,NK_cell
Cell_174,NK_cell
Cell_175,NK_cell
Cell_176,NK_cell
Cell_177,NK_cell
Cell_178,NK_cell
Cell_179,NK_cell
Cell_180,NK_cell
Cell_181,NK_cell
Cell_182,NK_cell
Cell_183,NK_cell
Cell_184,NK_cell
Cell_185,NK_cell
Cell_186,NK_cell
Cell_187,NK_cell
Cell_188,NK_cell
Cell_189,NK_cell
Cell_190,NK_cell
Cell_191,NK_cell
Cell_192,NK_cell
Cell_193,NK_cell
Cell_194,NK_cell
Cell_195,NK_cell
Cell_196,NK_cell
Cell_197,NK_cell
Cell_198,NK_cell
Cell_199,NK_cell
Cell_200,NK_cell
